id,title,release_date,vote_average,vote_count,popularity,runtime,budget,revenue,original_language,genres,director,actor_principal,grupo
262543,Automata,2014-10-09,5.884,1808,6.6498,110,7000000,6237990,en,"Thriller, Science Fiction",Gabe Ibáñez,Antonio Banderas,regular
227973,The Peanuts Movie,2015-11-05,7.0,1807,5.0523,88,99000000,246233113,en,"Animation, Comedy, Family",Steve Martino,Noah Schnapp,regular
6877,Failure to Launch,2006-03-10,5.83,1807,3.5681,97,50000000,130224158,en,"Romance, Comedy",Tom Dey,Matthew McConaughey,regular
11172,Music and Lyrics,2007-02-09,6.452,1805,2.4308,104,40000000,145896422,en,"Comedy, Music, Romance",Marc Lawrence,Drew Barrymore,regular
9788,Accepted,2006-08-18,6.447,1805,4.2679,93,23000000,38505009,en,Comedy,Steve Pink,Justin Long,regular
42684,Skyline,2010-11-11,5.065,1802,2.9492,93,10500000,66984887,en,"Science Fiction, Action, Thriller",Colin Strause,Eric Balfour,regular
22832,Ninja Assassin,2009-09-29,6.715,1802,8.8255,99,40000000,61601280,en,"Action, Adventure, Thriller",James McTeigue,Rain,regular
9530,RV,2006-04-28,5.897,1803,4.5638,99,50000000,87528173,en,"Family, Comedy, Adventure",Barry Sonnenfeld,Robin Williams,regular
323675,Ride Along 2,2016-01-14,6.253,1802,2.7728,102,40000000,124827316,en,"Action, Comedy",Tim Story,Kevin Hart,regular
26505,Arthur and the Revenge of Maltazard,2009-11-26,5.776,1794,3.0094,93,87000000,52377611,fr,"Adventure, Fantasy, Animation, Family",Luc Besson,Freddie Highmore,regular
10679,Iron Sky,2012-04-04,5.752,1795,2.7481,93,7500000,10109659,en,"Action, Comedy, Science Fiction",Timo Vuorensola,Julia Dietze,regular
511809,West Side Story,2021-12-08,6.918,1793,4.5069,156,100000000,76016171,en,"Drama, Romance, Crime",Steven Spielberg,Ansel Elgort,regular
10898,The Little Mermaid II: Return to the Sea,2000-01-23,6.402,1794,1.0573,75,0,0,en,"Animation, Adventure, Family, Comedy",Jim Kammerud,Jodi Benson,regular
614560,Mank,2020-11-13,6.67,1792,3.5266,132,25000000,122252,en,"Drama, History",David Fincher,Gary Oldman,regular
271969,Ben-Hur,2016-08-17,5.772,1791,4.4068,125,100000000,94061311,en,"Action, History, Adventure, Drama",Timur Bekmambetov,Jack Huston,regular
617505,Hubie Halloween,2020-10-07,5.886,1790,2.3628,102,14000000,0,en,"Comedy, Horror, Mystery",Steven Brill,Adam Sandler,regular
2179,Tenacious D in The Pick of Destiny,2006-11-22,6.782,1790,2.7391,93,22000000,13405595,en,"Comedy, Music, Fantasy, Adventure",Liam Lynch,Jack Black,regular
7459,Speed Racer,2008-05-07,6.4,1789,6.4597,135,120000000,93900000,en,"Family, Action, Adventure, Comedy",Lana Wachowski,Emile Hirsch,regular
1022796,Wish,2023-11-13,6.219,1788,7.0942,95,175000000,254997360,en,"Animation, Family, Fantasy, Adventure",Fawn Veerasunthorn,Ariana DeBose,regular
43933,Monsters,2010-06-18,6.186,1787,2.0514,94,500000,5639730,en,"Drama, Thriller, Science Fiction",Gareth Edwards,Scoot McNairy,regular
9372,Super Size Me,2004-01-17,6.722,1787,1.2818,100,65000,28575078,en,Documentary,Morgan Spurlock,Morgan Spurlock,regular
9359,Maverick,1994-05-20,6.901,1784,3.1395,127,75000000,183031272,en,"Action, Adventure, Comedy, Drama, Western",Richard Donner,Mel Gibson,regular
38317,Zookeeper,2011-07-06,5.449,1785,3.068,102,80000000,169900000,en,"Comedy, Romance, Family",Frank Coraci,Kevin James,regular
9944,The Pelican Brief,1993-09-17,6.593,1783,4.2312,141,45000000,195268056,en,"Thriller, Crime, Drama",Alan J. Pakula,Julia Roberts,regular
33217,Diary of a Wimpy Kid,2010-03-19,6.283,1784,7.4769,92,15000000,75700000,en,"Comedy, Family",Thor Freudenthal,Zachary Gordon,regular
2662,House of 1000 Corpses,2003-04-11,6.194,1777,3.4169,89,7000000,17949758,en,Horror,Rob Zombie,Sid Haig,regular
1035259,The Naked Gun,2025-07-30,6.371,1778,13.4417,85,42000000,102147396,en,"Comedy, Action, Crime",Akiva Schaffer,Liam Neeson,regular
565028,Candyman,2021-08-25,6.002,1773,2.866,91,25000000,77411570,en,"Horror, Thriller",Nia DaCosta,Yahya Abdul-Mateen II,regular
6964,Something's Gotta Give,2003-12-12,6.632,1772,3.8213,128,80000000,270000000,en,"Drama, Comedy, Romance",Nancy Meyers,Jack Nicholson,regular
2026,Hostage,2005-03-09,6.353,1773,2.701,113,52000000,77944725,en,"Action, Thriller, Crime",Florent-Emilio Siri,Bruce Willis,regular
454293,Night School,2018-09-27,6.123,1772,2.9284,111,29000000,33157615,en,Comedy,Malcolm D. Lee,Kevin Hart,regular
4379,Monster-in-Law,2005-05-13,6.234,1772,4.3325,101,43000000,154749918,en,"Romance, Comedy",Robert Luketic,Jennifer Lopez,regular
11249,Seed of Chucky,2004-11-12,5.51,1770,4.9778,86,12000000,24829644,en,"Horror, Comedy",Don Mancini,Brad Dourif,regular
